name                                description
affy_hg_u133_plus_2                 Affy HG U133-PLUS-2 probeset
affy_hg_u133a_2                     Affy HG U133A_2 probeset
affy_hg_u133a                       Affy HG U133A probeset
affy_hg_u133b                       Affy HG U133B probeset
affy_hg_u95av2                      Affy HG U95AV2 probeset
affy_hg_u95b                        Affy HG U95B probeset
affy_hg_u95c                        Affy HG U95C probeset
affy_hg_u95d                        Affy HG U95D probeset
affy_hg_u95e                        Affy HG U95E probeset
affy_hg_u95a                        Affy HG U95A probeset
affy_hugenefl                       Affy HuGene FL probeset
affy_huex_1_0_st_v2                 Affy HuEx 1_0 st v2 probeset
affy_hugene_1_0_st_v1               Affy HuGene 1_0 st v1 probeset
affy_primeview                      Affy primeview
affy_u133_x3p                       Affy U133 X3P probeset
agilent_cgh_44b                     Agilent CGH 44b probe
codelink                            Codelink probe
illumina_humanwg_6_v1               Illumina HumanWG 6 v1 probe
illumina_humanwg_6_v2               Illumina HumanWG 6 v2 probe
illumina_humanwg_6_v3               Illumina HumanWG 6 v3 probe
illumina_humanht_12                 Illumina Human HT 12 probe
phalanx_onearray                    Phalanx OneArray probe
anatomical_system                   Anatomical System (egenetics)
development_stage                   Development Stage (egenetics)
cell_type                           Cell Type (egenetics)
pathology                           Pathology (egenetics)
atlas_celltype                      GNF/Atlas cell type
atlas_diseasestate                  GNF/Atlas disease state
atlas_organismpart                  GNF/Atlas organism part
family_description                  Ensembl Family Description
family                              Ensembl Protein Family ID(s)
pirsf                               PIRSF SuperFamily ID
superfamily                         Superfamily ID
smart                               SMART ID
profile                             PROFILE ID
prints                              PRINTS ID
pfam                                PFAM ID
tigrfam                             TIGRFam ID
interpro                            Interpro ID
interpro_short_description          Interpro Short Description
interpro_description                Interpro Description
low_complexity                      Low complexity
transmembrane_domain                Transmembrane domain
signal_domain                       Signal domain
ncoils                              Ncoils
ensembl_gene_id                     Ensembl Gene ID
ensembl_transcript_id               Ensembl Transcript ID
ensembl_peptide_id                  Ensembl Protein ID
chromosome_name                     Chromosome Name
start_position                      Gene Start (bp)
end_position                        Gene End (bp)
transcript_start                    Transcript Start (bp)
transcript_end                      Transcript End (bp)
strand                              Strand
external_gene_id                    Associated Gene Name
external_gene_db                    Associated Gene DB
5_utr_start                         5' UTR Start
5_utr_end                           5' UTR End
3_utr_start                         3' UTR Start
3_utr_end                           3' UTR End
cds_length                          CDS Length
transcript_count                    Transcript count
description                         Description
gene_biotype                        Gene Biotype
exon_chrom_start                    Exon Chr Start (bp)
exon_chrom_end                      Exon Chr End (bp)
is_constitutive                     Constitutive Exon
rank                                Exon Rank in Transcript
phase                               phase
cdna_coding_start                   cDNA coding start
cdna_coding_end                     cDNA coding end
genomic_coding_start                Genomic coding start
genomic_coding_end                  Genomic coding end
ensembl_exon_id                     Ensembl Exon ID
cds_start                           CDS Start
cds_end                             CDS End
ensembl_gene_id                     Ensembl Gene ID
ensembl_transcript_id               Ensembl Transcript ID
ensembl_peptide_id                  Ensembl Protein ID
name_1078                           Gene Name With Corresponding Event
splicing_event__dm_name_1059        Chromosome Name
splicing_event_type                 Event Type
name_106                            Event Name
seq_region_start_1078               Seq Region Start (bp)
seq_region_end_1078                 Seq Region End (bp)
seq_region_strand_1078              Strand
ensembl_gene_id                     Ensembl Gene ID
ensembl_transcript_id               Ensembl Transcript ID
ensembl_peptide_id                  Ensembl Protein ID
chromosome_name                     Chromosome Name
start_position                      Gene Start (bp)
end_position                        Gene End (bp)
strand                              Strand
band                                Band
external_gene_id                    Associated Gene Name
external_gene_db                    Associated Gene DB
transcript_count                    Transcript count
percentage_gc_content               % GC content
description                         Description
vpacos_homolog_ensembl_gene         Alpaca Ensembl Gene ID
vpacos_homolog_canomical_transcript_protein Canonical Protein or Transcript ID
vpacos_homolog_ensembl_peptide      Alpaca Ensembl Protein ID
vpacos_homolog_chromosome           Alpaca Chromosome Name
vpacos_homolog_chrom_start          Alpaca Chromosome Start (bp)
vpacos_homolog_chrom_end            Alpaca Chromosome End (bp)
vpacos_homolog_orthology_type       Homology Type
vpacos_homolog_subtype              Ancestor
vpacos_homolog_perc_id              % Identity with respect to query gene
vpacos_homolog_perc_id_r1           % Identity with respect to Alpaca gene
vpacos_homolog_dn                   dN
vpacos_homolog_ds                   dS
acarolinensis_homolog_ensembl_gene  Anole Lizard Ensembl Gene ID
acarolinensis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
acarolinensis_homolog_ensembl_peptide Anole Lizard Ensembl Protein ID
acarolinensis_homolog_chromosome    Anole Lizard Chromosome Name
acarolinensis_homolog_chrom_start   Anole Lizard Chromosome Start (bp)
acarolinensis_homolog_chrom_end     Anole Lizard Chromosome End (bp)
acarolinensis_homolog_orthology_type Homology Type
acarolinensis_homolog_subtype       Ancestor
acarolinensis_homolog_perc_id       % Identity with respect to query gene
acarolinensis_homolog_perc_id_r1    % Identity with respect to Anole Lizard gene
acarolinensis_homolog_dn            dN
acarolinensis_homolog_ds            dS
dnovemcinctus_homolog_ensembl_gene  Armadillo Ensembl Gene ID
dnovemcinctus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
dnovemcinctus_homolog_ensembl_peptide Armadillo Ensembl Protein ID
dnovemcinctus_homolog_chromosome    Armadillo Chromosome Name
dnovemcinctus_homolog_chrom_start   Armadillo Chromosome Start (bp)
dnovemcinctus_homolog_chrom_end     Armadillo Chromosome End (bp)
dnovemcinctus_homolog_orthology_type Homology Type
dnovemcinctus_homolog_subtype       Ancestor
dnovemcinctus_homolog_perc_id       % Identity with respect to query gene
dnovemcinctus_homolog_perc_id_r1    % Identity with respect to Armadillo gene
dnovemcinctus_homolog_dn            dN
dnovemcinctus_homolog_ds            dS
gmorhua_homolog_ensembl_gene        Atlantic Cod Ensembl Gene ID
gmorhua_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
gmorhua_homolog_ensembl_protein     Atlantic Cod Ensembl Protein ID
gmorhua_homolog_chromosome          Atlantic Cod Chromosome Name
gmorhua_homolog_chrom_start         Atlantic Cod Chromosome Start (bp)
gmorhua_homolog_chrom_end           Atlantic Cod Chromosome End (bp)
gmorhua_homolog_orthology_type      Homology Type
gmorhua_homolog_subtype             Ancestor
gmorhua_homolog_perc_id             % Identity with respect to query gene
gmorhua_homolog_perc_id_r1          % Identity with respect to Atlantic Cod gene
ogarnettii_homolog_ensembl_gene     Bushbaby Ensembl Gene ID
ogarnettii_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ogarnettii_homolog_ensembl_peptide  Bushbaby Ensembl Protein ID
ogarnettii_homolog_chromosome       Bushbaby Chromosome Name
ogarnettii_homolog_chrom_start      Bushbaby Chromosome Start (bp)
ogarnettii_homolog_chrom_end        Bushbaby Chromosome End (bp)
ogarnettii_homolog_orthology_type   Homology Type
ogarnettii_homolog_subtype          Ancestor
ogarnettii_homolog_perc_id          % Identity with respect to query gene
ogarnettii_homolog_perc_id_r1       % Identity with respect to Bushbaby gene
ogarnettii_homolog_dn               dN
ogarnettii_homolog_ds               dS
celegans_homolog_chrom_start        Caenorhabditis elegans Chromosome Start (bp)
celegans_homolog_ensembl_gene       Caenorhabditis elegans Ensembl Gene ID
celegans_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
celegans_homolog_ensembl_peptide    Caenorhabditis elegans Ensembl Protein ID
celegans_homolog_chromosome         Caenorhabditis elegans Chromosome Name
celegans_homolog_chrom_end          Caenorhabditis elegans Chromosome End (bp)
celegans_homolog_orthology_type     Homology Type
celegans_homolog_subtype            Ancestor
celegans_homolog_perc_id            % Identity with respect to query gene
celegans_homolog_perc_id_r1         % Identity with respect to Caenorhabditis elegans gene
celegans_homolog_dn                 dN
celegans_homolog_ds                 dS
fcatus_homolog_ensembl_gene         Cat Ensembl Gene ID
fcatus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
fcatus_homolog_ensembl_peptide      Cat Ensembl Protein ID
fcatus_homolog_chromosome           Cat Chromosome Name
fcatus_homolog_chrom_start          Cat Chromosome Start (bp)
fcatus_homolog_chrom_end            Cat Chromosome End (bp)
fcatus_homolog_orthology_type       Homology Type
fcatus_homolog_subtype              Ancestor
fcatus_homolog_perc_id              % Identity with respect to query gene
fcatus_homolog_perc_id_r1           % Identity with respect to Cat gene
fcatus_homolog_dn                   dN
fcatus_homolog_ds                   dS
ggallus_homolog_ensembl_gene        Chicken Ensembl Gene ID
ggallus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ggallus_homolog_ensembl_peptide     Chicken Ensembl Protein ID
ggallus_homolog_chromosome          Chicken Chromosome Name
ggallus_homolog_chrom_start         Chicken Chromosome Start (bp)
ggallus_homolog_chrom_end           Chicken Chromosome End (bp)
ggallus_homolog_orthology_type      Homology Type
ggallus_homolog_subtype             Ancestor
ggallus_homolog_perc_id             % Identity with respect to query gene
ggallus_homolog_perc_id_r1          % Identity with respect to Chicken gene
ggallus_homolog_dn                  dN
ggallus_homolog_ds                  dS
ptroglodytes_homolog_ensembl_gene   Chimpanzee Ensembl Gene ID
ptroglodytes_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ptroglodytes_homolog_ensembl_peptide Chimpanzee Ensembl Protein ID
ptroglodytes_homolog_chromosome     Chimpanzee Chromosome Name
ptroglodytes_homolog_chrom_start    Chimpanzee Chromosome Start (bp)
ptroglodytes_homolog_chrom_end      Chimpanzee Chromosome End (bp)
ptroglodytes_homolog_orthology_type Homology Type
ptroglodytes_homolog_subtype        Ancestor
ptroglodytes_homolog_perc_id        % Identity with respect to query gene
ptroglodytes_homolog_perc_id_r1     % Identity with respect to Chimpanzee gene
ptroglodytes_homolog_dn             dN
ptroglodytes_homolog_ds             dS
psinensis_homolog_ensembl_gene      Chinese softshell turtle Ensembl Gene ID
psinensis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
psinensis_homolog_ensembl_peptide   Chinese softshell turtle Ensembl Protein ID
psinensis_homolog_chromosome        Chinese softshell turtle Chromosome Name
psinensis_homolog_chrom_start       Chinese softshell turtle Chromosome Start (bp)
psinensis_homolog_chrom_end         Chinese softshell turtle Chromosome End (bp)
psinensis_homolog_orthology_type    Homology Type
psinensis_homolog_subtype           Ancestor
psinensis_homolog_perc_id           % Identity with respect to query gene
psinensis_homolog_perc_id_r1        % Identity with respect to Chinese softshell turtle gene
psinensis_homolog_dn                dN
psinensis_homolog_ds                dS
cintestinalis_homolog_ensembl_gene  Ciona intestinalis Ensembl Gene ID
cintestinalis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
cintestinalis_homolog_ensembl_peptide Ciona intestinalis Ensembl Protein ID
cintestinalis_homolog_chromosome    Ciona intestinalis Chromosome Name
cintestinalis_homolog_chrom_start   Ciona intestinalis Chromosome Start (bp)
cintestinalis_homolog_chrom_end     Ciona intestinalis Chromosome End (bp)
cintestinalis_homolog_orthology_type Homology Type
cintestinalis_homolog_subtype       Ancestor
cintestinalis_homolog_perc_id       % Identity with respect to query gene
cintestinalis_homolog_perc_id_r1    % Identity with respect to Ciona intestinalis gene
cintestinalis_homolog_dn            dN
cintestinalis_homolog_ds            dS
csavignyi_homolog_ensembl_gene      Ciona savignyi Ensembl Gene ID
csavignyi_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
csavignyi_homolog_ensembl_peptide   Ciona savignyi Ensembl Protein ID
csavignyi_homolog_chromosome        Ciona savignyi Chromosome Name
csavignyi_homolog_chrom_start       Ciona savignyi Chromosome Start (bp)
csavignyi_homolog_chrom_end         Ciona savignyi Chromosome End (bp)
csavignyi_homolog_orthology_type    Homology Type
csavignyi_homolog_subtype           Ancestor
csavignyi_homolog_perc_id           % Identity with respect to query gene
csavignyi_homolog_perc_id_r1        % Identity with respect to Ciona savignyi gene
csavignyi_homolog_dn                dN
csavignyi_homolog_ds                dS
lchalumnae_homolog_ensembl_gene     Coelacanth Ensembl Gene ID
lchalumnae_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
lchalumnae_homolog_ensembl_peptide  Coelacanth Ensembl Protein ID
lchalumnae_homolog_chromosome       Coelacanth Chromosome Name
lchalumnae_homolog_chrom_start      Coelacanth Chromosome Start (bp)
lchalumnae_homolog_chrom_end        Coelacanth Chromosome End (bp)
lchalumnae_homolog_orthology_type   Homology Type
lchalumnae_homolog_subtype          Ancestor
lchalumnae_homolog_perc_id          % Identity with respect to query gene
lchalumnae_homolog_perc_id_r1       % Identity with respect to Coelacanth gene
saraneus_homolog_ensembl_gene       Common Shrew Ensembl Gene ID
saraneus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
saraneus_homolog_ensembl_peptide    Common Shrew Ensembl Protein ID
saraneus_homolog_chromosome         Common Shrew Chromosome Name
saraneus_homolog_chrom_start        Common Shrew Chromosome Start (bp)
saraneus_homolog_chrom_end          Common Shrew Chromosome End (bp)
saraneus_homolog_orthology_type     Homology Type
saraneus_homolog_subtype            Ancestor
saraneus_homolog_perc_id            % Identity with respect to query gene
saraneus_homolog_perc_id_r1         % Identity with respect to Common Shrew gene
saraneus_homolog_dn                 dN
saraneus_homolog_ds                 dS
btaurus_homolog_ensembl_gene        Cow Ensembl Gene ID
btaurus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
btaurus_homolog_ensembl_peptide     Cow Ensembl Protein ID
btaurus_homolog_chromosome          Cow Chromosome Name
btaurus_homolog_chrom_start         Cow Chromosome Start (bp)
btaurus_homolog_chrom_end           Cow Chromosome End (bp)
btaurus_homolog_orthology_type      Homology Type
btaurus_homolog_subtype             Ancestor
btaurus_homolog_perc_id             % Identity with respect to query gene
btaurus_homolog_perc_id_r1          % Identity with respect to Cow gene
btaurus_homolog_dn                  dN
btaurus_homolog_ds                  dS
cfamiliaris_homolog_ensembl_gene    Dog Ensembl Gene ID
cfamiliaris_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
cfamiliaris_homolog_ensembl_peptide Dog Ensembl Protein ID
cfamiliaris_homolog_chromosome      Dog Chromosome Name
cfamiliaris_homolog_chrom_start     Dog Chromosome Start (bp)
cfamiliaris_homolog_chrom_end       Dog Chromosome End (bp)
cfamiliaris_homolog_orthology_type  Homology Type
cfamiliaris_homolog_subtype         Ancestor
cfamiliaris_homolog_perc_id         % Identity with respect to query gene
cfamiliaris_homolog_perc_id_r1      % Identity with respect to Dog gene
cfamiliaris_homolog_dn              dN
cfamiliaris_homolog_ds              dS
ttruncatus_homolog_ensembl_gene     Dolphin Ensembl Gene ID
ttruncatus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ttruncatus_homolog_ensembl_peptide  Dolphin Ensembl Protein ID
ttruncatus_homolog_chromosome       Dolphin Chromosome Name
ttruncatus_homolog_chrom_start      Dolphin Chromosome Start (bp)
ttruncatus_homolog_chrom_end        Dolphin Chromosome End (bp)
ttruncatus_homolog_orthology_type   Homology Type
ttruncatus_homolog_subtype          Ancestor
ttruncatus_homolog_perc_id          % Identity with respect to query gene
ttruncatus_homolog_perc_id_r1       % Identity with respect to Dolphin gene
ttruncatus_homolog_dn               dN
ttruncatus_homolog_ds               dS
dmelanogaster_homolog_ensembl_gene  Drosophila Ensembl Gene ID
dmelanogaster_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
dmelanogaster_homolog_ensembl_peptide Drosophila Ensembl Protein ID
dmelanogaster_homolog_chromosome    Drosophila Chromosome Name
dmelanogaster_homolog_chrom_start   Drosophila Chromosome Start (bp)
dmelanogaster_homolog_chrom_end     Drosophila Chromosome End (bp)
dmelanogaster_homolog_orthology_type Homology Type
dmelanogaster_homolog_subtype       Ancestor
dmelanogaster_homolog_perc_id       % Identity with respect to query gene
dmelanogaster_homolog_perc_id_r1    % Identity with respect to Drosophila gene
dmelanogaster_homolog_dn            dN
dmelanogaster_homolog_ds            dS
aplatyrhynchos_homolog_ensembl_gene Duck Ensembl Gene ID
aplatyrhynchos_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
aplatyrhynchos_homolog_ensembl_peptide Duck Ensembl Protein ID
aplatyrhynchos_homolog_chromosome   Duck Chromosome Name
aplatyrhynchos_homolog_chrom_start  Duck Chromosome Start (bp)
aplatyrhynchos_homolog_chrom_end    Duck Chromosome End (bp)
aplatyrhynchos_homolog_orthology_type Homology Type
aplatyrhynchos_homolog_subtype      Ancestor
aplatyrhynchos_homolog_perc_id      % Identity with respect to query gene
aplatyrhynchos_homolog_perc_id_r1   % Identity with respect to Duck gene
aplatyrhynchos_homolog_dn           dN
aplatyrhynchos_homolog_ds           dS
lafricana_homolog_ensembl_gene      Elephant Ensembl Gene ID
lafricana_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
lafricana_homolog_ensembl_peptide   Elephant Ensembl Protein ID
lafricana_homolog_chromosome        Elephant Chromosome Name
lafricana_homolog_chrom_start       Elephant Chromosome Start (bp)
lafricana_homolog_chrom_end         Elephant Chromosome End (bp)
lafricana_homolog_orthology_type    Homology Type
lafricana_homolog_subtype           Ancestor
lafricana_homolog_perc_id           % Identity with respect to query gene
lafricana_homolog_perc_id_r1        % Identity with respect to Elephant gene
lafricana_homolog_dn                dN
lafricana_homolog_ds                dS
mfuro_homolog_ensembl_gene          Ferret Ensembl Gene ID
mfuro_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mfuro_homolog_ensembl_peptide       Ferret Ensembl Protein ID
mfuro_homolog_chromosome            Ferret Chromosome Name
mfuro_homolog_chrom_start           Ferret Chromosome Start (bp)
mfuro_homolog_chrom_end             Ferret Chromosome End (bp)
mfuro_homolog_orthology_type        Homology Type
mfuro_homolog_subtype               Ancestor
mfuro_homolog_perc_id               % Identity with respect to query gene
mfuro_homolog_perc_id_r1            % Identity with respect to Ferret gene
mfuro_homolog_dn                    dN
mfuro_homolog_ds                    dS
falbicollis_homolog_ensembl_gene    Flycatcher Ensembl Gene ID
falbicollis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
falbicollis_homolog_ensembl_peptide Flycatcher Ensembl Protein ID
falbicollis_homolog_chromosome      Flycatcher Chromosome Name
falbicollis_homolog_chrom_start     Flycatcher Chromosome Start (bp)
falbicollis_homolog_chrom_end       Flycatcher Chromosome End (bp)
falbicollis_homolog_orthology_type  Homology Type
falbicollis_homolog_subtype         Ancestor
falbicollis_homolog_perc_id         % Identity with respect to query gene
falbicollis_homolog_perc_id_r1      % Identity with respect to Flycatcher gene
falbicollis_homolog_dn              dN
falbicollis_homolog_ds              dS
trubripes_homolog_ensembl_gene      Fugu Ensembl Gene ID
trubripes_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
trubripes_homolog_ensembl_peptide   Fugu Ensembl Protein ID
trubripes_homolog_chromosome        Fugu Chromosome Name
trubripes_homolog_chrom_start       Fugu Chromosome Start (bp)
trubripes_homolog_chrom_end         Fugu Chromosome End (bp)
trubripes_homolog_orthology_type    Homology Type
trubripes_homolog_subtype           Ancestor
trubripes_homolog_perc_id           % Identity with respect to query gene
trubripes_homolog_perc_id_r1        % Identity with respect to Fugu gene
trubripes_homolog_dn                dN
trubripes_homolog_ds                dS
nleucogenys_homolog_ensembl_gene    Gibbon Ensembl Gene ID
nleucogenys_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
nleucogenys_homolog_ensembl_peptide Gibbon Ensembl Protein ID
nleucogenys_homolog_chromosome      Gibbon Chromosome Name
nleucogenys_homolog_chrom_start     Gibbon Chromosome Start (bp)
nleucogenys_homolog_chrom_end       Gibbon Chromosome End (bp)
nleucogenys_homolog_orthology_type  Homology Type
nleucogenys_homolog_subtype         Ancestor
nleucogenys_homolog_perc_id         % Identity with respect to query gene
nleucogenys_homolog_perc_id_r1      % Identity with respect to Gibbon gene
nleucogenys_homolog_dn              dN
nleucogenys_homolog_ds              dS
ggorilla_homolog_ensembl_gene       Gorilla Ensembl Gene ID
ggorilla_homolog_canomical_transcript_protein Canonical Protein or Transcript ID
ggorilla_homolog_ensembl_peptide    Gorilla Ensembl Protein ID
ggorilla_homolog_chromosome         Gorilla Chromosome Name
ggorilla_homolog_chrom_start        Gorilla Chromosome Start (bp)
ggorilla_homolog_chrom_end          Gorilla Chromosome End (bp)
ggorilla_homolog_orthology_type     Homology Type
ggorilla_homolog_subtype            Ancestor
ggorilla_homolog_perc_id            % Identity with respect to query gene
ggorilla_homolog_perc_id_r1         % Identity with respect to Gorilla gene
ggorilla_homolog_dn                 dN
ggorilla_homolog_ds                 dS
cporcellus_homolog_ensembl_gene     Guinea Pig Ensembl Gene ID
cporcellus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
cporcellus_homolog_ensembl_peptide  Guinea Pig Ensembl Protein ID
cporcellus_homolog_chromosome       Guinea Pig Chromosome Name
cporcellus_homolog_chrom_start      Guinea Pig Chromosome Start (bp)
cporcellus_homolog_chrom_end        Guinea Pig Chromosome End (bp)
cporcellus_homolog_orthology_type   Homology Type
cporcellus_homolog_subtype          Ancestor
cporcellus_homolog_perc_id          % Identity with respect to query gene
cporcellus_homolog_perc_id_r1       % Identity with respect to Guinea Pig gene
cporcellus_homolog_dn               dN
cporcellus_homolog_ds               dS
eeuropaeus_homolog_ensembl_gene     Hedgehog Ensembl Gene ID
eeuropaeus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
eeuropaeus_homolog_ensembl_peptide  Hedgehog Ensembl Protein ID
eeuropaeus_homolog_chromosome       Hedgehog Chromosome Name
eeuropaeus_homolog_chrom_start      Hedgehog Chromosome Start (bp)
eeuropaeus_homolog_chrom_end        Hedgehog Chromosome End (bp)
eeuropaeus_homolog_orthology_type   Homology Type
eeuropaeus_homolog_subtype          Ancestor
eeuropaeus_homolog_perc_id          % Identity with respect to query gene
eeuropaeus_homolog_perc_id_r1       % Identity with respect to Hedgehog gene
eeuropaeus_homolog_dn               dN
eeuropaeus_homolog_ds               dS
ecaballus_homolog_ensembl_gene      Horse Ensembl Gene ID
ecaballus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ecaballus_homolog_ensembl_peptide   Horse Ensembl Protein ID
ecaballus_homolog_chromosome        Horse Chromosome Name
ecaballus_homolog_chrom_start       Horse Chromosome Start (bp)
ecaballus_homolog_chrom_end         Horse Chromosome End (bp)
ecaballus_homolog_orthology_type    Homology Type
ecaballus_homolog_subtype           Ancestor
ecaballus_homolog_perc_id           % Identity with respect to query gene
ecaballus_homolog_perc_id_r1        % Identity with respect to Horse gene
ecaballus_homolog_dn                dN
ecaballus_homolog_ds                dS
dordii_homolog_ensembl_gene         Kangaroo Rat Ensembl Gene ID
dordii_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
dordii_homolog_ensembl_peptide      Kangaroo Rat Ensembl Protein ID
dordii_homolog_chromosome           Kangaroo Rat Chromosome Name
dordii_homolog_chrom_start          Kangaroo Rat Chromosome Start (bp)
dordii_homolog_chrom_end            Kangaroo Rat Chromosome End (bp)
dordii_homolog_orthology_type       Homology Type
dordii_homolog_subtype              Ancestor
dordii_homolog_perc_id              % Identity with respect to query gene
dordii_homolog_perc_id_r1           % Identity with respect to Kangaroo Rat gene
dordii_homolog_dn                   dN
dordii_homolog_ds                   dS
pmarinus_homolog_ensembl_gene       Lamprey Ensembl Gene ID
pmarinus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
pmarinus_homolog_ensembl_peptide    Lamprey Ensembl Protein ID
pmarinus_homolog_chromosome         Lamprey Chromosome Name
pmarinus_homolog_chrom_start        Lamprey Chromosome Start (bp)
pmarinus_homolog_chrom_end          Lamprey Chromosome End (bp)
pmarinus_homolog_orthology_type     Homology Type
pmarinus_homolog_subtype            Ancestor
pmarinus_homolog_perc_id            % Identity with respect to query gene
pmarinus_homolog_perc_id_r1         % Identity with respect to Lamprey gene
etelfairi_homolog_ensembl_gene      Lesser hedgehog tenrec Ensembl Gene ID
etelfairi_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
etelfairi_homolog_ensembl_peptide   Lesser hedgehog tenrec Ensembl Protein ID
etelfairi_homolog_chromosome        Lesser hedgehog tenrec Chromosome Name
etelfairi_homolog_chrom_start       Lesser hedgehog tenrec Chromosome Start (bp)
